schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,max_original_reward_risk,min_minutes_after_rth_open,max_minutes_after_rth_open,max_session_range_points,max_fade_edge_score,max_vwap_stretch_points,max_open_stretch_points,input_regime_rows,accepted_trades,skipped_trades,target_hits,losses,other_exits,skipped_target_hits,skipped_losses,skipped_other_exits,win_rate,net_usd,skipped_net_usd,total_net_usd,long_trades,short_trades,skipped_long_trades,skipped_short_trades,notes
1,auction_regime_walk_forward_window=1:train_dates=8:holdout_dates=1,train,true,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,signal_auction_regime_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_session_range=50:max_fade_edge=1:max_vwap_stretch=10:max_open_stretch=20,liquidity_sweep_absorption_reversal,all,3.5,0,390,50,1,10,20,12,9,3,7,2,0,0,3,0,0.77777778,2018.5,-735.5,1283,5,4,2,1,accepted/skipped report for selected auction-regime guard rule
1,auction_regime_walk_forward_window=1:train_dates=8:holdout_dates=1,holdout,true,2026-06-04,signal_auction_regime_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_session_range=50:max_fade_edge=1:max_vwap_stretch=10:max_open_stretch=20,liquidity_sweep_absorption_reversal,all,3.5,0,390,50,1,10,20,1,0,1,0,0,0,0,1,0,0,0,-153.5,-153.5,0,0,0,1,accepted/skipped report for selected auction-regime guard rule
1,auction_regime_walk_forward_window=2:train_dates=8:holdout_dates=1,train,true,2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04,signal_auction_regime_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_session_range=50:max_fade_edge=0.85:max_vwap_stretch=10:max_open_stretch=20,liquidity_sweep_absorption_reversal,all,3.5,0,390,50,0.85,10,20,11,8,3,6,2,0,0,3,0,0.75,1465.75,-610.5,855.25,4,4,2,1,accepted/skipped report for selected auction-regime guard rule
1,auction_regime_walk_forward_window=2:train_dates=8:holdout_dates=1,holdout,true,2026-06-08,signal_auction_regime_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_session_range=50:max_fade_edge=0.85:max_vwap_stretch=10:max_open_stretch=20,liquidity_sweep_absorption_reversal,all,3.5,0,390,50,0.85,10,20,2,0,2,0,0,0,0,2,0,0,0,-644.5,-644.5,0,0,1,1,accepted/skipped report for selected auction-regime guard rule
1,auction_regime_walk_forward_window=3:train_dates=8:holdout_dates=1,train,true,2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08,signal_auction_regime_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=2.5:minutes=0-120:max_session_range=35:max_fade_edge=0.75:max_vwap_stretch=6:max_open_stretch=6,liquidity_sweep_absorption_reversal,all,2.5,0,120,35,0.75,6,6,11,4,7,4,0,0,0,7,0,1,879.75,-1687,-807.25,2,2,4,3,accepted/skipped report for selected auction-regime guard rule
1,auction_regime_walk_forward_window=3:train_dates=8:holdout_dates=1,holdout,true,2026-06-10,signal_auction_regime_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=2.5:minutes=0-120:max_session_range=35:max_fade_edge=0.75:max_vwap_stretch=6:max_open_stretch=6,liquidity_sweep_absorption_reversal,all,2.5,0,120,35,0.75,6,6,2,0,2,0,0,0,0,2,0,0,0,-282,-282,0,0,1,1,accepted/skipped report for selected auction-regime guard rule
1,auction_regime_walk_forward_window=4:train_dates=8:holdout_dates=1,train,true,2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10,signal_auction_regime_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=999:minutes=0-120:max_session_range=35:max_fade_edge=0.85:max_vwap_stretch=10:max_open_stretch=20,liquidity_sweep_absorption_reversal,all,999,0,120,35,0.85,10,20,11,4,7,2,2,0,0,7,0,0.5,392.25,-1624.5,-1232.25,2,2,4,3,accepted/skipped report for selected auction-regime guard rule
1,auction_regime_walk_forward_window=4:train_dates=8:holdout_dates=1,holdout,true,2026-06-11,signal_auction_regime_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=999:minutes=0-120:max_session_range=35:max_fade_edge=0.85:max_vwap_stretch=10:max_open_stretch=20,liquidity_sweep_absorption_reversal,all,999,0,120,35,0.85,10,20,2,0,2,0,0,0,0,2,0,0,0,-469.5,-469.5,0,0,1,1,accepted/skipped report for selected auction-regime guard rule
1,auction_regime_walk_forward_window=5:train_dates=8:holdout_dates=1,train,true,2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11,signal_auction_regime_filter:strategy=liquidity_sweep_absorption_reversal:direction=long:max_rr=999:minutes=0-120:max_session_range=999:max_fade_edge=1:max_vwap_stretch=999:max_open_stretch=999,liquidity_sweep_absorption_reversal,long,999,0,120,999,1,999,999,11,4,7,1,3,0,0,7,0,0.25,-151.5,-1749.5,-1901,4,0,2,5,accepted/skipped report for selected auction-regime guard rule
1,auction_regime_walk_forward_window=5:train_dates=8:holdout_dates=1,holdout,true,2026-06-12,signal_auction_regime_filter:strategy=liquidity_sweep_absorption_reversal:direction=long:max_rr=999:minutes=0-120:max_session_range=999:max_fade_edge=1:max_vwap_stretch=999:max_open_stretch=999,liquidity_sweep_absorption_reversal,long,999,0,120,999,1,999,999,1,0,1,0,0,0,0,1,0,0,0,-203.5,-203.5,0,0,0,1,accepted/skipped report for selected auction-regime guard rule
