schema_version,context_id,outcome_id,event_key,signal_id,symbol,direction,entry_time,entry_bar_index,lookback_bars,lookback_bars_available,minutes_after_rth_open,entry_price,stop_price,first_target_price,runner_target_price,risk_points,first_target_points,runner_target_points,runner_reward_risk,signal_price_move,signal_delta_sum,signal_abs_delta_sum,lookback_range_points,average_bar_range_points,average_volume,average_trades,average_abs_delta,entry_bar_range_points,entry_bar_volume,entry_bar_trades,entry_bar_delta,risk_to_average_bar_range,runner_target_to_average_bar_range,signal_abs_delta_sum_to_average_abs_delta,entry_volume_to_average_volume,entry_trades_to_average_trades,entry_abs_delta_to_average_abs_delta,exit_reason,first_target_hit,net_usd,notes
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_568:full_stop_hit:570:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_568:full_stop_hit:570,ESU26-CME:2:568:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_568,ESU26-CME,long,2026-03-23  10:24:00,568,20,16,54,6742.75,6732.75,6747.75,6750.75,10,5,8,0.8,20,55,55,59.5,7.453125,15.5,12.0625,11.375,10,13,8,7,1.34171908,1.07337526,4.83516484,0.83870968,0.66321244,0.61538462,full_stop_hit,false,-1057,pre-entry normalized context for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_576:full_stop_hit:579:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_576:full_stop_hit:579,ESU26-CME:2:576:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:short,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_576,ESU26-CME,short,2026-03-23  10:51:00,576,20,20,81,6738.75,6748.75,6733.75,6730.75,10,5,8,0.8,-2.5,-51,51,44.25,6.025,11.15,8.15,6.65,1.25,3,3,1,1.65975104,1.32780083,7.66917293,0.2690583,0.36809816,0.15037594,full_stop_hit,false,-1057,pre-entry normalized context for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_639:runner_target_hit:643:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_639:runner_target_hit:643,ESU26-CME:2:639:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:short,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_639,ESU26-CME,short,2026-03-23  15:27:00,639,20,20,357,6702.25,6712.25,6697.25,6694.25,10,5,8,0.8,-4.75,-81,81,25.75,1.6375,11.6,11,10.1,0.75,2,2,0,6.10687023,4.88549618,8.01980198,0.17241379,0.18181818,0,runner_target_hit,true,593,pre-entry normalized context for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_745:runner_target_hit:751:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_745:runner_target_hit:751,ESU26-CME:2:745:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_745,ESU26-CME,long,2026-03-25  10:27:00,745,20,15,57,6705.5,6695.5,6710.5,6713.5,10,5,8,0.8,3.75,309,309,47,4.08333333,42.8,21.33333333,41.06666667,1,2,2,-2,2.44897959,1.95918367,7.52435065,0.04672897,0.09375,0.0487013,runner_target_hit,true,593,pre-entry normalized context for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_750:full_stop_hit:753:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_750:full_stop_hit:753,ESU26-CME:2:750:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_750,ESU26-CME,long,2026-03-25  10:45:00,750,20,20,75,6712.5,6702.5,6717.5,6720.5,10,5,8,0.8,16.75,298,298,47,3.2375,33,16.7,31.3,0,1,1,1,3.08880309,2.47104247,9.52076677,0.03030303,0.05988024,0.03194888,full_stop_hit,false,-1057,pre-entry normalized context for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_765:runner_target_hit:770:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_765:runner_target_hit:770,ESU26-CME:2:765:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_765,ESU26-CME,long,2026-03-25  11:51:00,765,20,20,141,6690.25,6680.25,6695.25,6698.25,10,5,8,0.8,20.25,210,210,47,1.8,13.7,5.3,12.3,0,1,1,-1,5.55555556,4.44444444,17.07317073,0.0729927,0.18867925,0.08130081,runner_target_hit,true,593,pre-entry normalized context for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_925:runner_target_hit:928:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_925:runner_target_hit:928,ESU26-CME:2:925:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_925,ESU26-CME,long,2026-03-27  10:57:00,925,20,20,87,6519.75,6509.75,6524.75,6527.75,10,5,8,0.8,4.75,119,119,20.75,3.225,16.15,11.75,8.25,0,1,1,1,3.10077519,2.48062016,14.42424242,0.0619195,0.08510638,0.12121212,runner_target_hit,true,593,pre-entry normalized context for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1324:runner_target_hit:1325:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1324:runner_target_hit:1325,ESU26-CME:2:1324:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1324,ESU26-CME,long,2026-04-02  10:36:00,1324,20,18,66,6667.25,6657.25,6672.25,6675.25,10,5,8,0.8,60.25,65,65,86.75,6.44444444,7.94444444,6.88888889,3.61111111,46.25,112,102,40,1.55172414,1.24137931,18,14.0979021,14.80645161,11.07692308,runner_target_hit,true,593,pre-entry normalized context for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1556:runner_target_hit:1558:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1556:runner_target_hit:1558,ESU26-CME:2:1556:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:short,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1556,ESU26-CME,short,2026-04-07  14:45:00,1556,20,20,315,6663,6673,6658,6655,10,5,8,0.8,-21.75,-50,50,31.75,1.575,6.1,4.25,4.9,0,1,1,-1,6.34920635,5.07936508,10.20408163,0.16393443,0.23529412,0.20408163,runner_target_hit,true,593,pre-entry normalized context for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1560:full_stop_hit:1564:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1560:full_stop_hit:1564,ESU26-CME:2:1560:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:short,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1560,ESU26-CME,short,2026-04-07  15:03:00,1560,20,20,333,6649.75,6659.75,6644.75,6641.75,10,5,8,0.8,-27.5,-91,91,45.5,1.55,5.6,3.95,4.5,3.5,43,34,-43,6.4516129,5.16129032,20.22222222,7.67857143,8.60759494,9.55555556,full_stop_hit,false,-1057,pre-entry normalized context for fixed scaled-scalp outcome row
